time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
272.5,0,0,0,0,0,0.0462494,54,0,0,0,0,0,0,0,1574,0,0,210,0,0,0,0,0,0.0169649,442,0.013968,442,0.002737,442,0.0002337,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372.5,1,377,113.1,22.62,2.262,0.222969,0,0,0,0,0,0,0,0,1575,0,0,210,0,0,3,0,0,0.0366584,642,0.0144508,642,0.0039989,642,0.0181716,642,0,0,1.23e-05,182,0.0007156,16,0.0001,23,0.0004017,182,5.65e-05,182,0.0001352,155,0.0001066,2,0,0,8.22e-05,180,0.0004331,182,0.001075,182,0.000249,182,2.3e-05,182,0.0032677,182,0,0,0.0027573,182,0.0004138,155,15066,182
472.5,1,183,134.07,44.91,6.5268,0.234421,0,0,0,0,0,0,0,0,1575,0,0,210,0,0,0,0,0,0.0617741,842,0.0145559,842,0.0052601,842,0.0419093,842,0,0,2.5e-05,382,0.0015972,37,0.0002029,48,0.0009066,382,0.0001235,382,0.0003135,355,0.0001066,2,0,0,0.0001949,380,0.0006843,382,0.0024038,382,0.0003077,382,4.32e-05,382,0.0084684,382,0,0,0.0073082,382,0.0009425,355,42822,382
572.5,1,36,104.649,56.8578,11.5599,0.255646,0,0,0,0,0,0,0,0,1575,0,0,210,0,0,0,0,0,0.086189,1042,0.0146777,1042,0.0063845,1042,0.0650669,1042,0,0,3.74e-05,582,0.0019224,50,0.0003096,73,0.001435,582,0.0001891,582,0.0005105,555,0.0001066,2,0,0,0.0002945,580,0.0008574,582,0.0037117,582,0.000374,582,6e-05,582,0.0143986,582,0,0,0.0125982,582,0.0014569,555,76626,582
672.5,1,31,82.5543,61.9971,16.6036,0.379898,0,0,0,0,0,0,0,0,1575,0,0,210,0,0,0,0,0,0.113207,1242,0.0148126,1242,0.0076381,1242,0.0906845,1242,0,0,5e-05,782,0.0022341,62,0.0004254,98,0.0019988,782,0.0002995,782,0.0007278,755,0.0001066,2,0,0,0.0003877,780,0.0010194,782,0.0053505,782,0.0004378,782,8.02e-05,782,0.0208168,782,0,0,0.0183309,782,0.0020021,755,110429,782
772.5,1,1,58.088,61.2153,21.0648,0.277988,0,0,0,0,0,0,0,0,1575,0,0,210,0,0,0,0,0,0.141315,1442,0.0149372,1442,0.0089173,1442,0.117376,1442,0,0,6.52e-05,982,0.0038697,89,0.0005216,123,0.0025253,982,0.0003787,982,0.0009846,955,0.0001066,2,0,0,0.0004706,980,0.0013513,982,0.0067497,982,0.0005026,982,0.0001015,982,0.0288114,982,0,0,0.0255548,982,0.0025381,955,157626,982
872.5,1,0,40.6616,57.1046,24.6688,0.2766,0,0,0,0,0,0,0,0,1575,0,0,210,0,0,0,0,0,0.169327,1642,0.0150602,1642,0.0102249,1642,0.143946,1642,0,0,8.11e-05,1182,0.0043657,102,0.0006176,148,0.003047,1182,0.0004535,1182,0.0012455,1155,0.0001066,2,0,0,0.0005554,1180,0.0015244,1182,0.0083388,1182,0.0005705,1182,0.0001244,1182,0.0369763,1182,0,0,0.0330018,1182,0.0030951,1155,205829,1182
972.5,1,0,28.4631,51.3763,27.3395,0.277313,0,0,0,0,0,0,0,0,1575,0,0,210,0,0,0,0,0,0.196678,1842,0.0151953,1842,0.0114871,1842,0.169889,1842,0,0,9.66e-05,1382,0.004923,116,0.0007129,173,0.0035601,1382,0.0005261,1382,0.001496,1355,0.0001066,2,0,0,0.0006352,1380,0.0017128,1382,0.0097809,1382,0.0006309,1382,0.0001443,1382,0.0448821,1382,0,0,0.0402174,1382,0.0036279,1355,254033,1382
1072.5,1,6,21.7242,45.4459,29.1501,0.282696,20,8.2048,0.237356,0.267973,0.0573778,0.00348522,4.81033,0,96,12,0,210,0,0,0,0,0,0.224066,2042,0.0157437,2042,0.0126778,2042,0.195526,2042,0,0,0.0001106,1582,0.0055054,131,0.00081,198,0.0039872,1582,0.0005928,1582,0.0017059,1555,0.0001066,2,0,0,0.00071,1580,0.0019783,1582,0.0111223,1582,0.0006948,1582,0.0001645,1582,0.0527111,1582,0,0,0.0474116,1582,0.0041087,1555,302244,1582
1172.5,1,0,15.2069,39.3981,30.1749,0.275391,20,6.57596,0.48483,0.135278,0.323591,0.00305501,4.44085,0,77,10,0,210,0,0,0,0,0,0.250772,2242,0.0161767,2242,0.0138627,2242,0.220604,2242,0,0,0.0001241,1782,0.0059599,144,0.0009031,223,0.0044157,1782,0.0006587,1782,0.0019147,1755,0.0001066,2,0,0,0.0007821,1780,0.0021776,1782,0.0124428,1782,0.0007534,1782,0.0001826,1782,0.0604097,1782,0,0,0.0544894,1782,0.0045773,1755,350449,1782
1272.5,1,1,10.9449,33.7074,30.5282,0.278502,20,6.71897,0.889477,0.0848619,0.480969,0.0030748,3.94817,0,48,6,2,210,0,0,0,0,0,0.277888,2442,0.0166131,2442,0.0150202,2442,0.246115,2442,0,0,0.000138,1982,0.0064834,158,0.0009947,248,0.0048389,1982,0.000722,1982,0.0021189,1955,0.0001066,2,0,0,0.000872,1980,0.0024293,1982,0.0137942,1982,0.0008577,1982,0.0002007,1982,0.0681436,1982,0,0,0.0616069,1982,0.0050447,1955,398657,1982
1372.5,1,0,7.6614,28.4982,30.3252,0.273558,20,8.70139,0.302872,0.0780228,1.09457,0.00313547,3.73837,0,134,26,0,210,0,0,0,0,0,0.304515,2642,0.0170553,2642,0.0161567,2642,0.271151,2642,0,0,0.0001508,2182,0.0070889,174,0.001085,273,0.005242,2182,0.0007868,2182,0.0023132,2155,0.0001066,2,0,0,0.0009402,2180,0.0026402,2182,0.0150953,2182,0.0009162,2182,0.0002183,2182,0.0756999,2182,0,0,0.0685535,2182,0.0055074,2155,446861,2182
1472.5,1,0,5.36298,23.8712,29.6798,0.26125,20,4.83653,0.545865,0.0779856,0.25223,0.00314679,4.04749,0,36,6,0,210,0,0,0,0,0,0.331312,2842,0.0175041,2842,0.0172699,2842,0.296374,2842,0,0,0.0001642,2382,0.0077861,191,0.001175,298,0.0056522,2382,0.000849,2382,0.0025078,2355,0.0001066,2,0,0,0.0010084,2380,0.0028546,2382,0.0164573,2382,0.0009742,2382,0.000236,2382,0.083284,2382,0,0,0.075521,2382,0.0059751,2355,495066,2382
