time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
401.5,0,0,0,0,0,0.0416412,35,0,0,0,0,0,0,0,1610,0,0,188,0,0,0,0,0,0.029277,709,0.0245547,709,0.0042733,709,0.0003378,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.5,1,337,101.1,20.22,2.022,0.299271,0,0,0,0,0,0,0,0,1609,0,0,188,0,0,3,0,0,0.0507982,909,0.0253628,909,0.0056085,909,0.0196981,909,0,0,1.04e-05,139,0.0015288,24,8.37e-05,19,0.0003545,139,4.64e-05,139,0.0001236,138,8.6e-05,2,0,0,6.95e-05,136,0.0004454,139,0.0008943,139,4.3e-05,139,3.77e-05,139,0.0053457,139,0,0,0.004881,139,0.0003706,138,26782,139
601.5,1,14,74.97,31.17,4.9368,0.299774,0,0,0,0,0,0,0,0,1609,0,0,188,0,0,0,0,0,0.0786118,1109,0.0254623,1109,0.0069026,1109,0.0461085,1109,0,0,3.08e-05,339,0.0025826,54,0.0001956,44,0.0008396,339,0.0001146,339,0.0002883,338,8.6e-05,2,0,0,0.0001597,331,0.0007074,339,0.0021614,339,0.000102,339,5.74e-05,339,0.0129211,339,0,0,0.0118082,339,0.0008856,338,65585,339
701.5,2,169,103.179,45.5718,9.0003,0.606766,0,0,0,0,0,0,0,0,1609,0,0,188,0,0,3,0,0,0.125809,1309,0.0255956,1309,0.0082485,1309,0.0918145,1309,0,0,4.83e-05,616,0.0046346,78,0.000624,80,0.0014444,616,0.000254,616,0.000546,612,0.0002601,4,0,0,0.0003137,606,0.0013523,616,0.0089841,616,0.0001894,616,0.0004133,616,0.0264276,616,0,0,0.0244048,616,0.0015491,612,143496,616
801.5,2,18,77.6253,51.9825,13.2985,0.618057,0,0,0,0,0,0,0,0,1609,0,0,188,0,0,0,0,0,0.191616,1509,0.0257368,1509,0.0096663,1509,0.15605,1509,0,0,7.34e-05,1016,0.006727,108,0.0008222,130,0.0021323,1016,0.0005172,1016,0.0009769,1012,0.0002601,4,0,0,0.0005213,1006,0.0020171,1016,0.0268533,1016,0.0003127,1016,0.0005687,1016,0.0473658,1016,0,0,0.0441291,1016,0.0023868,1012,271796,1016
901.5,2,0,54.3377,52.4535,17.214,0.624683,0,0,0,0,0,0,0,0,1609,0,0,188,0,0,0,0,0,0.256694,1709,0.0258525,1709,0.0110562,1709,0.219611,1709,0,0,0.0001008,1416,0.0080777,138,0.0009887,180,0.0027438,1416,0.0007732,1416,0.0014346,1412,0.0002601,4,0,0,0.0007217,1406,0.0028565,1416,0.0519069,1416,0.0004389,1416,0.0006124,1416,0.0702808,1416,0,0,0.0658163,1416,0.003201,1412,416198,1416
1001.5,2,0,38.0364,49.5701,20.4496,0.652498,0,0,0,0,0,0,0,0,1609,0,0,188,0,0,0,0,0,0.320153,1909,0.0259688,1909,0.0123622,1909,0.281636,1909,0,0,0.0001267,1816,0.00932,165,0.0011519,230,0.0033291,1816,0.0010276,1816,0.0018994,1812,0.0002601,4,0,0,0.0009133,1806,0.0030095,1816,0.0768198,1816,0.0005629,1816,0.0006541,1816,0.0922377,1816,0,0,0.0865777,1816,0.0039905,1812,560598,1816
1101.5,2,8,29.0255,45.4612,22.9508,1.62153,25,8.64988,0.149419,0.28279,0.00393031,0.00318891,4.72975,0,90,14,0,188,0,0,0,0,0,0.442277,2109,0.0268714,2109,0.0137791,2109,0.401429,2109,0,0,0.0001545,2215,0.0129536,224,0.0013769,280,0.0041689,2215,0.0012635,2215,0.0025131,2211,0.0057567,7,0.000665,10,0.0011218,2202,0.0140808,2215,0.0943375,2215,0.0017374,2215,0.00127,2215,0.183928,2215,0,0,0.105393,2215,0.075914,2211,890952,2215
1201.5,2,0,20.3178,40.4325,24.699,1.96261,20,5.31898,0.362201,0.127779,0.0036259,0.00314321,3.81892,0,60,9,0,188,0,0,0,0,0,0.625916,2309,0.027848,2309,0.0152983,2309,0.582559,2309,0,0,0.000181,2615,0.0162462,310,0.0016344,330,0.0048226,2615,0.001504,2615,0.0031291,2611,0.0084868,12,0.0020713,26,0.0024476,2596,0.0276485,2615,0.106982,2615,0.0036071,2615,0.0018959,2615,0.350213,2615,0,0,0.132003,2615,0.214013,2611,1385534,2615
1301.5,2,1,14.5225,35.2505,25.7541,1.48478,20,4.05347,0.277477,0.0621627,0.0034564,0.00271765,3.41918,0,44,7,0,188,0,0,0,0,0,0.792843,2509,0.0287633,2509,0.016669,2509,0.747187,2509,0,0,0.000211,3015,0.0201548,408,0.0018502,380,0.0054748,3015,0.001737,3015,0.0037419,3011,0.0103762,17,0.005656,66,0.0053783,2988,0.0417512,3015,0.117502,3015,0.0046676,3015,0.0023951,3015,0.501015,3015,0,0,0.160016,3015,0.335496,3011,1879808,3015
